player_id,cluster,mean_status_WIN,mean_status_LOSE,mean_status_timeout,mean_completing_ratio,mean_kills,mean_kills_by_fire,mean_kills_by_stomp,mean_kills_by_shell,mean_lives,mean_coins,mean_all_enemies,mean_all_coins,mean_trajectory_length,total_runs,runner_ratio,killer_ratio,collector_ratio
9fa2d416-3c98-481e-9f25-608316e9aa27,3,1.0,0.0,0.0,1.0,9.5,0.0,6.0,2.5,2.8333333333333335,9.666666666666666,19.0,14.333333333333334,1435.8333333333333,6,0.3333333333333333,0.3333333333333333,0.3333333333333333
a107d2f0-b4b0-4782-8416-1d1219f13fc5,3,0.7142857142857143,0.2857142857142857,0.0,0.9183780380657741,6.285714285714286,0.0,3.5714285714285716,1.0,1.4285714285714286,3.4285714285714284,15.142857142857142,17.285714285714285,1542.142857142857,7,0.3333333333333333,0.3333333333333333,0.3333333333333333
a11999eb-48ab-4655-b2e7-a102e7210111,3,0.5714285714285714,0.42857142857142855,0.0,0.921690319265638,4.0,0.0,3.2857142857142856,0.2857142857142857,0.7142857142857143,5.714285714285714,14.428571428571429,19.428571428571427,1096.857142857143,7,0.3333333333333333,0.3333333333333333,0.3333333333333333
a3bbdd04-4020-4bc8-95d2-692568fe9115,3,0.7142857142857143,0.2857142857142857,0.0,0.8750197844845908,7.571428571428571,0.0,4.571428571428571,1.0,1.0,4.571428571428571,13.142857142857142,15.428571428571429,1574.857142857143,7,0.3333333333333333,0.3333333333333333,0.3333333333333333
a89045cd-3900-400f-85c2-74b49190c972,3,1.0,0.0,0.0,1.0,14.0,2.7777777777777777,7.222222222222222,2.4444444444444446,1.8888888888888888,9.444444444444445,20.555555555555557,15.88888888888889,2261.8888888888887,9,0.2,0.4,0.4
b11e2911-4d8f-48f0-bc28-8db6c9d0ffd5,3,0.631578947368421,0.3684210526315789,0.0,0.9241223303895247,12.473684210526315,0.0,7.7368421052631575,2.6842105263157894,0.9473684210526315,11.68421052631579,22.42105263157895,18.31578947368421,2806.315789473684,19,0.3333333333333333,0.3333333333333333,0.3333333333333333
b9b7c160-14ab-4076-bb32-6b5ce9bc1bb4,3,0.7142857142857143,0.2857142857142857,0.0,0.9232458642550877,4.0,0.0,2.142857142857143,0.2857142857142857,0.42857142857142855,5.285714285714286,18.428571428571427,14.571428571428571,830.8571428571429,7,0.3333333333333333,0.3333333333333333,0.3333333333333333
cf8680ff-9cc5-4a30-b2f1-0e6ceaf39e9c,3,0.6666666666666666,0.3333333333333333,0.0,0.9164054294427236,9.5,0.0,6.166666666666667,1.5,1.6666666666666667,12.333333333333334,22.666666666666668,23.666666666666668,1472.0,6,0.3333333333333333,0.3333333333333333,0.3333333333333333
cfa734c5-6381-48bc-9a44-436292751245,3,0.1111111111111111,0.8888888888888888,0.0,0.7304529613918729,8.0,0.0,4.0,2.0,0.0,6.222222222222222,13.222222222222221,16.666666666666668,1823.6666666666667,9,0.3333333333333333,0.3333333333333333,0.3333333333333333
d19a149b-1d08-4720-bc60-716abcb6be88,3,0.7142857142857143,0.2857142857142857,0.0,0.8633822585855212,8.0,0.0,6.428571428571429,0.8571428571428571,0.8571428571428571,5.857142857142857,17.857142857142858,15.0,1358.5714285714287,7,0.3333333333333333,0.3333333333333333,0.3333333333333333
