player_id,cluster,mean_status_WIN,mean_status_LOSE,mean_status_timeout,mean_completing_ratio,mean_kills,mean_kills_by_fire,mean_kills_by_stomp,mean_kills_by_shell,mean_lives,mean_coins,mean_trajectory_length,total_runs,runner_ratio,killer_ratio,collector_ratio
0c742b9d-e162-44c4-b3c9-13447fd0d608,0,1.0,0.0,0.0,1.0,3.5,0.0,1.75,0.0,2.75,5.75,1369.25,4,0.0,0.0,0.0
0cbaa3ae-5376-4d7f-8053-7daba92be456,0,0.75,0.25,0.0,0.9080606997013092,4.75,0.0,2.25,0.0,2.25,2.5,1162.5,4,0.0,0.0,0.0
2482c1ca-0da2-4288-a8a6-c5e41050e310,0,1.0,0.0,0.0,1.0,7.75,0.0,4.5,1.0,1.5,5.75,1421.0,4,0.0,0.0,0.0
2a8b8b1b-a314-4c4d-9721-8b94797932fb,0,0.75,0.25,0.0,0.9379163980484009,8.75,0.5,5.5,0.5,1.75,9.0,2512.25,4,0.0,0.0,0.0
2f12fa57-37c6-4486-be84-ac4e5dc569c2,0,0.75,0.25,0.0,0.9748637229204178,8.75,0.0,5.0,1.0,0.75,4.25,1513.75,4,0.0,0.0,0.0
3e9a9746-8dd9-4860-9079-dee242ceb868,0,0.75,0.25,0.0,0.9756534248590469,8.0,0.0,4.25,1.75,2.0,5.5,1719.25,4,0.0,0.0,0.0
4824aeeb-a1dd-479c-bf9d-8eeaa849d866,0,1.0,0.0,0.0,1.0,6.0,0.0,2.0,0.0,0.0,15.0,1812.0,1,0.0,0.0,0.0
4b7b206e-74bc-4d4b-81ec-a2bebb32aaeb,0,0.6,0.4,0.0,0.9189125537872315,8.0,0.0,4.4,2.4,0.8,5.0,2148.2,5,0.0,0.0,0.0
56b8e4ac-4757-4679-ac36-030931987b90,0,0.75,0.25,0.0,0.956680953502655,2.25,0.0,1.25,0.0,1.5,4.5,1021.75,4,0.0,0.0,0.0
60eb6bbd-e693-4b39-a26b-deefbdb778b7,0,1.0,0.0,0.0,1.0,2.6666666666666665,0.0,1.0,0.0,1.6666666666666667,7.0,1518.6666666666667,3,0.0,0.0,0.0
68c3063b-b165-4829-a70d-ab66e67253c5,0,1.0,0.0,0.0,1.0,9.0,0.0,1.0,0.0,3.0,18.0,2378.0,1,0.0,0.0,0.0
76027eb9-e5df-464c-84e0-88c816678977,0,1.0,0.0,0.0,1.0,6.0,0.0,1.75,0.0,1.25,6.0,1552.75,4,0.0,0.0,0.0
765cec57-b27c-4efa-a54c-3b025ba97aef,0,0.6666666666666666,0.3333333333333333,0.0,0.9945972959200541,2.0,0.0,1.6666666666666667,0.0,1.6666666666666667,2.3333333333333335,1157.6666666666667,3,0.0,0.0,0.0
7699c3d2-fb67-40f4-a8c2-d04c9c59d7f1,0,0.6666666666666666,0.3333333333333333,0.0,0.8926044901212057,6.0,0.0,2.3333333333333335,0.0,0.6666666666666666,6.666666666666667,1917.3333333333333,3,0.0,0.0,0.0
8e16acd5-31df-429f-a0b4-4e6f82157507,0,1.0,0.0,0.0,1.0,2.75,0.0,1.75,0.0,3.75,9.5,1199.75,4,0.0,0.0,0.0
9720c245-2bd9-44e0-825b-d54324f5b90a,0,1.0,0.0,0.0,1.0,8.0,0.0,2.6666666666666665,0.3333333333333333,1.3333333333333333,11.333333333333334,2116.0,3,0.0,0.0,0.0
9ecbe03d-97b6-48aa-b3ba-a21d09d0fd56,0,1.0,0.0,0.0,1.0,6.0,0.0,2.3333333333333335,0.6666666666666666,0.6666666666666666,5.0,2041.3333333333333,3,0.0,0.0,0.0
9fa2d416-3c98-481e-9f25-608316e9aa27,0,1.0,0.0,0.0,1.0,8.0,0.0,4.333333333333333,2.0,2.6666666666666665,9.666666666666666,1434.3333333333333,3,0.0,0.0,0.0
a11999eb-48ab-4655-b2e7-a102e7210111,0,0.75,0.25,0.0,0.9761726260185242,2.75,0.0,2.0,0.0,1.25,5.0,1175.0,4,0.0,0.0,0.0
c25c6ad3-626d-4563-9a22-81b0f8b9e8d5,0,0.75,0.25,0.0,0.9769746512174606,5.0,0.0,3.5,0.0,1.25,8.75,1368.0,4,0.0,0.0,0.0
cb577ff9-dd86-4191-9dff-51b04f83410a,0,1.0,0.0,0.0,1.0,13.0,0.0,2.75,7.75,2.75,4.75,1110.75,4,0.0,0.0,0.0
e2215704-e65c-4f6f-893c-abdf71a1fd5f,0,0.6666666666666666,0.3333333333333333,0.0,0.9677759607632955,4.0,0.0,2.3333333333333335,0.0,1.0,4.666666666666667,1447.3333333333333,3,0.0,0.0,0.0
edceed34-0e98-45b2-9ec8-e0139398b646,0,0.5,0.5,0.0,0.8400214314460754,9.75,0.0,6.5,0.5,0.25,5.25,1567.0,4,0.0,0.0,0.0
f2bb6e80-5d6a-47f7-9d4f-bffa766cefd6,0,1.0,0.0,0.0,1.0,4.0,0.0,0.5,0.5,2.25,7.75,1482.0,4,0.0,0.0,0.0
fd747ef3-188e-4a86-b65d-7d3da34e1566,0,1.0,0.0,0.0,1.0,5.25,0.0,3.25,0.5,2.25,3.75,1402.75,4,0.0,0.0,0.0
fdb9bf30-0d9b-4985-bdff-661806be4fe5,0,1.0,0.0,0.0,1.0,3.25,0.0,2.25,0.5,1.75,5.5,1134.75,4,0.0,0.0,0.0
fe64a281-9563-4165-bf98-fbd8841472ba,0,0.5,0.5,0.0,0.8273169845342636,6.0,0.0,5.0,0.0,0.0,4.0,1444.75,4,0.0,0.0,0.0
15441163-83ea-493e-adda-61d2b8d8d5b0,1,0.0,1.0,0.0,0.35589176416397095,4.0,0.0,2.0,2.0,0.0,7.0,1707.0,1,0.0,0.0,0.0
43591ce5-db23-4aab-8911-f4a445815c83,1,0.5,0.5,0.0,0.9627290368080139,3.0,0.0,2.5,0.0,1.0,3.5,775.5,2,0.0,0.0,0.0
b9b7c160-14ab-4076-bb32-6b5ce9bc1bb4,1,0.5,0.5,0.0,0.8656802624464035,3.5,0.0,0.75,0.5,0.5,5.75,874.25,4,0.0,0.0,0.0
c09113a4-46c7-4ffc-8af8-c09e9fcb3ff8,1,0.5,0.5,0.0,0.7389336824417114,4.5,0.0,2.5,1.0,2.0,8.5,1528.5,2,0.0,0.0,0.0
